------------------------------------------------------------------------------------------
2021-05-18.16:49:20 [INFO]: SDL Inicializado
2021-05-18.16:49:20 [DEBUG]: Inicia gameloop
2021-05-18.16:49:21 [DEBUG]: Inicia gameloop
2021-05-18.16:49:22 [DEBUG]: Inicia gameloop
2021-05-18.16:49:23 [DEBUG]: Inicia gameloop
2021-05-18.16:49:24 [DEBUG]: Inicia gameloop
2021-05-18.16:49:25 [DEBUG]: Inicia gameloop
2021-05-18.16:49:26 [DEBUG]: Inicia gameloop
2021-05-18.16:49:27 [DEBUG]: Inicia gameloop
2021-05-18.16:49:28 [DEBUG]: Inicia gameloop
2021-05-18.16:49:29 [DEBUG]: Inicia gameloop
2021-05-18.16:49:30 [DEBUG]: Inicia gameloop
2021-05-18.16:49:31 [DEBUG]: Inicia gameloop
2021-05-18.16:49:32 [DEBUG]: Inicia gameloop
2021-05-18.16:49:33 [DEBUG]: Inicia gameloop
2021-05-18.16:49:34 [DEBUG]: Inicia gameloop
2021-05-18.16:49:35 [DEBUG]: Inicia gameloop
2021-05-18.16:49:36 [DEBUG]: Inicia gameloop
2021-05-18.16:49:37 [DEBUG]: Inicia gameloop
2021-05-18.16:49:37 [DEBUG]: Botón QUIT
2021-05-18.16:49:38 [INFO]: Cerrar SDL
